file	multicov_No	sample	group	time	type	seq	rep
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxPlus_H3K4me3_Rep02.bam	36	H3K4me3_UI_DoxPlus_2	H3K4me3_UI_DoxPlus	UI	DoxPlus	H3K4me3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxMinus_H3K4me3_Rep01.bam	37	H3K4me3_0h_DoxMinus_1	H3K4me3_0h_DoxMinus	0h	DoxMinus	H3K4me3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxMinus_H3K4me3_Rep02.bam	38	H3K4me3_0h_DoxMinus_2	H3K4me3_0h_DoxMinus	0h	DoxMinus	H3K4me3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxPlus_H3K4me3_Rep01.bam	39	H3K4me3_0h_DoxPlus_1	H3K4me3_0h_DoxPlus	0h	DoxPlus	H3K4me3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxPlus_H3K4me3_Rep02.bam	40	H3K4me3_0h_DoxPlus_2	H3K4me3_0h_DoxPlus	0h	DoxPlus	H3K4me3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxMinus_H3K4me3_Rep01_runMerged.bam	41	H3K4me3_24h_DoxMinus_1	H3K4me3_24h_DoxMinus	24h	DoxMinus	H3K4me3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxMinus_H3K4me3_Rep02_runMerged.bam	42	H3K4me3_24h_DoxMinus_2	H3K4me3_24h_DoxMinus	24h	DoxMinus	H3K4me3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxPlus_H3K4me3_Rep01_runMerged.bam	43	H3K4me3_24h_DoxPlus_1	H3K4me3_24h_DoxPlus	24h	DoxPlus	H3K4me3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxPlus_H3K4me3_Rep02_runMerged.bam	44	H3K4me3_24h_DoxPlus_2	H3K4me3_24h_DoxPlus	24h	DoxPlus	H3K4me3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxMinus_H3K4me3_Rep01_runMerged.bam	45	H3K4me3_48h_DoxMinus_1	H3K4me3_48h_DoxMinus	48h	DoxMinus	H3K4me3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/0111_3T3_EGFP18_48h_DoxMinus_H3K4me3_Rep03.bam	46	H3K4me3_48h_DoxMinus_2	H3K4me3_48h_DoxMinus	48h	DoxMinus	H3K4me3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxPlus_H3K4me3_Rep01_runMerged.bam	47	H3K4me3_48h_DoxPlus_1	H3K4me3_48h_DoxPlus	48h	DoxPlus	H3K4me3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxPlus_H3K4me3_Rep02_runMerged.bam	48	H3K4me3_48h_DoxPlus_2	H3K4me3_48h_DoxPlus	48h	DoxPlus	H3K4me3	2
